English,Italian
"MOTOR 0,75KW","MOTORE 0,75KW"
SPRING FC3M,MOLLA FC3M
SCREW HEX HEAD,VITE
COVER RUBBER USB,PANNELLO DI COPERTURA
DOOR (DOUBLE LAYER,PORTA
SELF-LOCK NUT,DADO AUTOBLOCCANTE
CUPELS FOR J7,COPPE PER J7
HOSE 18X12,TUBO
DRAWER LEFT,CASSETTO SX
DOUBLE NIPPLE 3/4,RACCORDO DOPPIO
FAN UNIT,PACCO VENTILATORE
SPRAY PLUG,TAPPO A SPRUZZO
HEATING ELEMENT FRYER,RESISTENZA FRYER
TAP BODY,CORPO RUBINETTO
"OPEN BASE,1-SIDE,H2-1500X850X450H",VANO APERTO H2 1 LATO 1500XH450
HUMIDITY SENSOR,SENSORE
CUTLERY SHELF,RIPIANO
BLADE WITH PIVOT,LAMA CON PERNO
SELF-STICK STRIP,NASTRO TELA PLAST M50XMM48 ARGENTO
BLADE SPRING,MOLLA A NASTRO
RELAY,RELE
GASKET 665X1620 MM,GUARNIZIONE MAGNETICA 665X1620 MM
COVERING CLOTH,PANNO DI COPERTURA
SCROLL ALUMINUM,COCLEA ALLUMINIO MOD 22 CON PERNO
HANDWHEEL KIT,VOLANTINO KIT
"MULTIRINSE RT,150R/H,ELEC,0-LIME,R>L,ESD",LS CESTO TRASCINATO 150 C/ORA ELETTRICA D>S ZERO LIME ESD
CLUTCH SPACER,DISTANZIALE
DRAIN VALVE,VALVOLA DI SCARICO
FAN PADDLE,PALA CESTO
"REPL,= 0780051460",UGELLO GAS
"PLATFORM SCALE,AUTOMATIC,300KG/100GR","BILICO A PAVIMENTO,AUTOMAT,300KG/100GR"
ADHESIVE INTERFACE,INTERFACCIA ADESIVA DI CONTROLLO
PANTS S,ACCUMULATORE
MOTOR 380 415V,MOTORE 380 415V
GASKET B3M,GUARNIZIONE B3M
BUSH 5 PCS,BOCCOLA 5 PCS
COVERING TOP SECTION,COPERTURA TOP SECTION
"NUT M4X3,2","DADO M4X3,2"
SWITCH MEMBRANE-ITCB,INTERRUTTORE
LOWER COVER,COPERTURA
DRIVE FOOT,CERNIERA
6X16 SCREW,VITE TE C/ROND 6X16 ZINC
DOOR INNER,PORTA
AUXILIARY CONTACT,CONTATTO AUSILIARIO
"THERMOSTAT 50/320°C CAP,900MM","TERMOSTATO 50/320°C CAP,900MM"
UPPER COVER,COPERTURA
HOSE RECIRCULATION,TUBO RICIRCOLO
GLASS PROFILE,PROFILO FERMAVETRO
DETECTOR SUPPORT K25,SUPPORTO RILEVATORE K25
ROLLER COVER,RIVESTIMENTO RULLO
SUPPORT TO FG-GASRANGE,SUPPORTO A FG-GASRANGE
CABINET ASSEMBLY,ASS MOBILE SCHIUMATO CB955A
MOTOR (VARIABLE FREQUENCY,MOTORE
"NOZZLE DIA,2,95","UGELLO DIA,2,95"
FOOT 40X40X2,PIEDE 40X40X2
METAL SHEET,BANDINELLA
LEFT SLIDE DOOR,PORTA SCORREVOLE SINISTRA
CABLE SPARTA-N-SWITCH-P,CAVO SPARTA-N-SWITCH-P
MICROSWITCH DRG,MICROINTERRUTTORE DRG
GASKET 415X580,GUARNIZIONE 415X580
THERMOSTAT BRACKET,PIASTRINO TERMOSTATO 95 GRADI
COLLECTOR BOTTOM,COLLETTORE
"VALVE,DUMP,240V,50/60HZ","VALVOLA,SCARICO,240V,50/60HZ"
RELAY R/FA,RELÈ R/FA
"EL,WARMING CAB,GN,2DOORS,1S,800X850X450H","VANO CALDO ELET,,2PORTE,GN,1L,800XH450"
M42 LOCKPIN,SPINA
TRANSFORMER 60W,TRASFORMATORE 60W
WASHER SILICONE,RONDELLA IN SILICONE
ADJUSTMENT COMPLETE,KIT REGOLAZIONE COMPLETO
CABINET KIT,COPERCHIO
CROSSPIECE FIX 775,TRAVERSA FIX 775
EVAPORATOR EPRO1/4H,EVAPORATORE EPRO1/4H
"REPL,= 9205890709",FILTRO GRASSI P FORNI
SCREW M8×70,VITE
RELAY 24VAC NO/NC,RELE
"EL,SOLID T,ECO,ST,OV,1S,1000X900X800H","TUTTAPIASTRA EL,,ECOTOP+FORNO STAT,1LATO"
SCREW ROD,VITE
INLET OVERFLOW BOX,SCATOLA
DETERGENT HOSE,TUBO ROSSO MANDATA DETERGENTE 1PCS=2170MM
AC CONTRACTOR,CONTATTORE
"SUPPORT DRIVE MOTOR,0,37KW,TBOT10-30R","SUPPORTO DRIVE MOTOR,0,37KW,TBOT10-30R"
GLASS 3GN,VETRO 3GN
LIST LOWER,LISTELLO LOWER
PROGRAM,EPROM
EARTH CABLE,CAVETTO DI TERRA
"IMPELLER DIA,168MM","GIRANTE DIA,168MM"
MXD-M7DZ FORK ROD,ASTA
INSERT,INSERTO
"EL,FRYTOP,SMOOTH PL,1S,BSPL,800X800X700H",FRY TOP EL MODULO 1 LATO C/ALZATINA
"CITRUS SQUEEZER,AUTOM,1,8LT/MIN+BASKET","SPREMIAGRUMI AUTOM 1,8 LT/MIN C/CESTO"
SAFETY PRESSOSTAT,PRESSOSTATO DI SICUREZZA
GT1 TOUCH FRAME,TELAIO GT1 TOUCH
BLADE R301,GRUPPO LAME LISCE R301
OIL BASIN,BACINELLA OLIO
SHAFT 785MM,ALBERO 785MM
BOTTOM PAD_AUTOFILL_SINGLE,PANNELLO
FLANGE BUSH,BOCCOLA FLANGIATA
KIT_PREVENTIVE MAINTENANCE_E29,KIT RIPARAZIONE
PRESSURE PLATE,PIASTRA DI PRESSIONE
TOP IMPINGEMENT PLATE,PIASTRA
SCRAPER SUPPORT,SUPPORTO RASCHIATORE
EARTHING PLATE,PIASTRINA FISSAGGIO TERMINALE
"EL,PASTA COOKER,1X20L,1-S,400X800X800H","CUOCIPASTA EL,1VASCA20L,1LATO-H 800"
SPRAY NOZZLE,NEBULIZZATORE
SPAREPARTS CATALOGUE,NASTRO ADESIVO + ALLUMINIO
LIPPED SEAL,GUARNIZIONE 10 PCS
"REPL,= 077018005109",INTERRUTTORE PRINCIPALE
DISPENSER SUPPORT,SUPPORTO
"EL,WARMING CAB,GN,1 DOOR,1S,600X850X450H","VANO CALDO ELET,,1PORTA,GN,1L,600XH450"
TUBE 3/8,TUBO 3/8
DRIVER SUPPORT,SUPPORTO DRIVER
SCREW M6X25,VITE M6X25
IRONING BELT KIT,CINGHIA
CAP_GRIND HEAD_GNB,CAP_GRIND TESTA_GNB
SPACER CUVE BP25,DISTANZIALE CUVE BP25
SUPPORT LED-LAMP,SUPPORTO SCHEDA LED
"GASNOZZLE =2,5MM",UGELLO 2.50
WORKING THERMOSTAT,TERMOSTATO DI LAVORO
GLASS SPRING,MOLLA
DISH BASKET,CESTO PIATTI
WIRING LABEL ESD,ETICHETTA
NOMEX FITTING,MOLLETTONE NOMEX MT 1
CABLE ELEMENT/CONTACTOR,CAVO ELEMENT/CONTACTOR
VIBRATION-DAMPING JOINT,"NF-4 D,18 MMS ELIMINATORE DI VIBRAZIONE"
TIMER FOR SP50,TIMER PER SP50
DRYING FRAME,CORNICE
FLAT PAD,PAD PIATTO
PRESSER TR17,PRESSATORE TR17
PROTECTION COVER,COPERTURA DI PROTEZIONE
PIN M8X12,SPINA M8X12
DEFLECTOR UPPER,DEFLETTORE UPPER
DRIVE SHAFT,ALBERO
BEARING SEAL,GUARNIZIONE CUSCINETTO
LEVER ROCKER-UPPER,LEVA ROCKER-UPPER
"PASSTH,OPEN BASE,H2,GN,2S,800X900X450H","VANO APERTO PASSANTE,H2,GN,2LAT,800XH450"
FOAMED BOTTOM,FONDO SCHIUMATO + RAMPA
VACUUM CLEANER,ASPIRABRICIOLE SENZA FILI DVA325J-P07 25W
EVACUATION DUCT,CONDOTTO DI ASPIRAZIONE D'ARIA
SUPPORT COMMANDE K120/180,SUPPORTO COMANDI K120/180
CABLE FRYTOP,CAVO FRYTOP
BOTTOM PANEL 500MM,PANNELLO DI FONDO 500MM
IO BOARD,SCHEDA ELETTRONICA I/O MODULE
PROBE TUBE,TUBO SONDA
PLUG TASSELLO CENTRATURA,TAPPO TASSELLO CENTRATURA
GEAR,INGRANAGGIO
MIXING NUT,DADO VITE MISCELAZIONE PER TESTA 366
M3X8 S/S SCREW,VITE INOX M3X8
MAGNETIC SEAL 1026X2560MM,GUARNIZIONE MAGNETICA 1026X2560MM
STEAM COIL 2,SERPENTINA VAPORE 2
"PLANET,MIXER-ELEC,MECH,-80L 230-400/3/50","MES,PLAN-ELEC,MEC,VARIATOR-80L 230-400/3"
USE 3010126,USARE 3010126
"HOSE KIT 3/4""-3/4"",DN8","TUBO FLESSIBILE KIT 3/4""-3/4"",DN8"
"SPIRAL MIXER,17KG,1-SPEED,400V","IMPASTATRICE SPIRALE,17KG,1 VEL,400"
GREASE CUP,INGRASSATORE
RUBBER DAMPER,AMMORTIZZATORE IN GOMMA
GLAND STEAM 2,TUBO VAPORE
LID 150,COPERCHIO
RIGHT SIDE,FIANCO DX
UNIVERSAL UNION,UNIONE UNIVERSALE
INVERTER KIT,INVERTER
PUMP HOUSING,ALLOGGIAMENTO POMPA
"CUPBOARD BASE,GN,1 DOOR,1-S,600X850X450H","VANO ARMADIATO GN,1PORTA,1L,600XH450"
BRACKET SHUTTLE HANDLE,MANIGLIA
JUNCTION BOX WELDING,SCATOLA DI GIUNZIONE
MOISTURE SENSOR COMPLETE,SENSORE UMIDITA
INSTRUCTION PLATE,PANNELLO ISTRUZIONI
COMPRESSOR ZF15K4E-TFD,COMPRESSORE ZF15K4E-TFD
HAT-TYPE BULKHEAD,PARATIA A CAPPELLO
COPPER PIPE,TUBO DI RAME
CONVEYOR SPROCKET 110,PIGNONE
COIN METERS,GETTONIERA
COLUMN 155,COLONNA 155
"ANGLE POLYSTYRENE L,885","ANGOLARE POLYSTYRENE L,885"
ASPIRATOR,ASPIRATORE
WIRE HARNESS_GR810E,CABLAGGIO
PCB CYCLON,SCHEDA ELETTRONICA CYCLON
CIRCUIT BREAKER_4 AMP,INTERRUTTORE DI CIRCUITO_4 AMP
CONTROL UNIT,CENTRALINA
WHEEL SHAFT,ALBERO RUOTA
"FELT,RECTANGULAR,DIA,2,39X33,4MM",FILTRO FILACCI
HEATER TRIANGLE FLANGE,FLANGIA
SCRAPER HORIZONTAL 300L,RASCHIETTO
CHAIN 1/2X1/8,CATENA 1/2X1/8
DRIVE GEAR A,INGRANAGGIO
MAGNETIC SWICTH,INTERRUTTORE MAGNETICO
HANDLE LOCKING MECHANISM,MECCANISMO CHIUSURA MANIGLIA
PACKAGING NINA,PROTEZIONE CARTONE NINA TELAIO ZINC
WIRING PIPE,TUBO PASSA CAVO
UPPER SPACER,DISTANZIALE
LED BOARD PIC3T,LED
"REPL,= 0780026945",INTERRUTTORE
GRILL EIS31/32/33/VFP50N,"GRIGLIA ANT, EIS31/32/33/VFP50N"
GENERATOR SUPPORT,SUPPORTO GENERATORI
LONG THERMOCOUPLE,TERMOCOPPIA
MICROSWITCH AUTO350CE,MICROINTERRUTTORE AUTO350CE
"SCREW 4,8X19","VITE 4,8X19"
"WASHER DIA,20MM","RONDELLA DIA,20MM"
BAND LATERAL,LAMIERA LATERAL
DISC M5,DISCO M5
ELECTRIC BOX LOCK,SERRATURA
"GAS TOP,4BURN+S,OVEN,PTH,2S,1000X900X800","CUCINA GAS 4FUOCHI+FORNO ST,PASS,2L,H800"
GLIDER BEARING,CUSCINETTO
TEMPERATURE SENSOR ASSEMBLY,ASS 220V SONDA TEMP TURTLE
RING RIGHT,ANELLO DX
"WINTER JACKET SZ,XXL","GIUBBINO INVERNALE SZ,XXL"
CABLE VALVE,CAVO VALVE
GROMMET OUTLET TUBE,ANELLO PREMISTOPPA
DEPLATION WAND,COLLETTORE
FLEX SHAFT,LEVA
ELECTRONIC CARDBOARD,SCHEDA ELETTRONICA
HOPPER_DUAL BEAN_GNB_CE,CONTENITORE
POWER UNIT,UNITA' DI POTENZA
COMPLETE TAP,RUBINETTO COMPLETO SP/GT BIANCO
SPROCKET LONG SHAFT,ALBERO
"AUTO,LIFT,(200MM)PASTA COOK 700","SOLLEV,AUT,CESTELLI (200MM) X CUOCIP,700"
FILLING TUBE,CONDUTTURA ACQUA
SPACER 10 PCS,DISTANZIALE 10 PCS
UPPER SIDE CASING,FIANCO
SUPPLY CABLE DSLHD-12,CAVO DI ALIMENTAZIONE DSLHD-12
"REPL,= 077019000491",PROLUNGA VALVOLA VAPORE
REAR GLASS,VETRO POSTERIORE
"REPL,= 07800A2965",MANOPOLA
SERVICE KIT,KIT DI SERVIZIO
GASKET_SILICONE_LEVEL PROBE,GUARNIZIONE
AUGER IQ550,ALBERO A COCLEA
GASTUBE T3650,TUBO GAS
PORCELAIN CONNECTOR,KROONSTEEN PORSELEIN
GEARMOTOR 115V,MOTORIDUTTORE 115V
END PART,PIASTRA
HINGED JOINT,GIUNTO INCERNIERATO
SILICONE HOSE SET,SET TUBETTI IN SILICONE
JACK,MARTINETTO
PLATE REAR,PIASTRA POSTERIORE
BEATER BLADE WHITE,PALETTA BIANCA
"TUBE BOI,PMP,RIS,PR","TUBETTO BOI,PMP,RIS,PR"
USE 203V201,USARE 203V201
EVERPURE CARTRIDGE 7CB5-S,FILTRO ACQUA
GASKET SILICONE,GUARNIZIONE IN SILICONE
POLYAMIDE NUT PIECE,DADO
KEYPAD,TASTIERA
SHAFT CROSS,ALBERO ORIZZONTALE
SEALING SCEEVE,MANICOTTO DI TENUTA
THERMOSTATIC VALVE,VALVOLA TERMOSTATICA
VALVE SPRAYHEAD 240V,VALVOLA
POWER BOARD FAULTY,SCHEDA DI POTENZA FAULTY
COFFEE SPOUT,BOCCHETTA
CAM LOGIX,ALBERO A CAMMA LOGIX
BLACK LEVER,LEVA NERA
"FLR,DRAIN+GRATE+S,SIPH-HOR,OUT 400X1850","GRIGLIATO+-SIFONE LATER,-ORIZZ,400X1850"
ELECTRODE LEVEL 135MM,ELETTRODO LEVEL 135MM
GASKET N°1030,GUARNIZIONE N°1030
CONTROL PANEL ASS,CRUSCOTTO ASS
PROTECTION RING,ANELLO DI PROTEZIONE
SUPPORT BASIN,SUPPORTO
SCRAPER LMA,RASCHIATORE LMA
"REPL,= 0780056551",ASTA CHIUSURA PORTA
MOUNTING BASE,KIT MONTAGGIO
CYLINDRICAL BUSH,BOCCOLA CILINDRICA
"1/4""FPT Y-STRAINERF/WATER W/1",SPATOLA PER MESCOLARE
LID CANISTER,COPERCHIO
WIRING HARNESS ASSY,CABLAGGIO ASSY
BIN THERMOSTAT,TERMOSTATO
PLATE LATERAL,PIASTRA LATERAL
PIVOT M10,PERNO M10
PROXIMITY SENSOR,SENSORE DI PROSSIMITÀ
FILTER CLOTH,TESSUTO FILTRO
USE 4020182,UTILIZZARE 4020182
RELAY J9636,RELE' J9636
"SCREW M4X8MM,TH,PH,TRILOBE,BLK",VITE
NAME PLATE,MARCHIO
"MULTIRINSE RT,300R/H,ELEC,0-LIME,L>R,HP","LS CESTO TRAS,300C/H,ELET,S>D,POMPA CAL"
CABLE BRIDGE ELEMENT,CAVO BRIDGE ELEMENT
IRON PLATE-ALUMINIUM,PIASTRA
CYLINDER LOWER,CILINDRO LOWER
GASKET 1PC=3000MM,GUARNIZIONE COPERCHIO 1PZ=3000MM
CYLINDRIC PROCTECTION,SALVADITA
SPROCKET ASSEMBLY MOUNTING,PIASTRA DI SUPPORTO
COFFEEFILTER,FILTRO CAFFE
CONTACTOR LC1N1810F7N,CONTATTORE
ICE CRUSHERS,TRITAGHIACCIO
ATTACHAMENT BRACKET,SQUADRETTA
SPRING BM80,MOLLA BM80
BELT TB2 L=360MM,CINGHIA TB2 L=360MM
PLATE FRONT,PIASTRA FRONTALE
"NOZZLE DIA,1,10MM","UGELLO DIA,1,10MM"
"NOZZLE D,1,10","UGELLO D,1,10"
"ALUM,CORNER SHELV,-POLY,TIERS-475X1541MM","SC,AD ANG ALLUM,RIP,POLYETH-475X1541MM"
"EL,DEEP FRYER,1X14L,1-SIDE,400X900X800H","FRIGGITRICE ELETTRICA,14LT,1 LATO H800"
DOOR GASKET SMALL,GUARNIZIONE PORTA
SERPENTINE,SERPENTINA
TEMPERATURE PROBE HSPE,SONDA DI TEMPERATURA HSPE
FAN MOTOR 50HZ,MOTORE PER VENTILATORE 50HZ
SEAL RING,ANELLO DI TENUTA
"LOCKER,S/S DOUBLE,VENTED","ARMADIO SPOGLIATOIO INOX,2 POSTI,AERATO"
MX DRIP TRAY,BACINELLA RACCOGLIGOCCE
O-RING 29X2MM,ANELLO OR 29X2MM
PVC PROTECTIVE FILM,PROTEZIONE
SLICING DISC (5MM,DISCO FETTE 5 MM
FOOT 2 100-200MM,PIEDE 2 100-200MM
MXD/M7D/M42D COMPL FILTER-HOLDER,SUPPORTO
TOOTHED WHEEL,RUOTA DENTATA
MIXER TAP,RUBINETTO MISCELATORE
MICROSWITCH MV50,MICROINTERRUTTORE MV50
SIGHT RAIL ALUMINIUM,GUIDA IN ALLUMINIO
DOOR LIFTING BRACKET,PORTA
DRIPPING-PAN,LECCARDA
EVAPORATOR UNIT,BATTERIA EVAPORANTE
"SPIRAL MIXER,25KG,1-SPEED,400V","IMPASTATRICE SPIRALE,25KG,1 VEL,400V"
OVERLOAD RELAY,RELE' DI MASSIMA CORRENTE
FIBER OPTIC AMPLIFICATOR,RONDELLA DI FIBRA
POWERBOARD,SCHEDA DI POTENZA
BLUE CLOCHE,CLOCHE RUBINETTO BLU
SHAFT DRIVE,ALBERO TRASCINAMENTO
INSTRUCTION SHEET,FOGLIO ISTRUZIONI
PROTECTION DOOR PANEL,PROTEZIONE DOOR PANEL
57 D TAMPER,PRESSATORE
BUSHIN CARRIAGE GROUP,GRUPPO BOCCOLA BRACCIO
CONTROL PANEL CHARGRILL,CRUSCOTTO
"INVERTER FAULTY 3,5KW/230V","INVERTER GUASTO 3,5KW/230V"
"REPL,= 077482458900",TRAPPOLA D'ARIA
NOZZLE LPG,UGELLO GPL
SCREW M8X15MM,VITE
CONDENSER MA1,CONDENSATORE MA1
BASKET 8LT,CESTO 8LT
PUSHER ASS,PRESSATORE
DETACHING CORD,NASTRINI
"FILTER DIM,490X592X48MM","FILTRO DIM,490X592X48MM"
NUT SCREW,MADREVITE
CHOKE,VALVOLA DELL'ARIA
RELAY BOX,SCATOLA RELÈ
TERMINALS,TERMINALI
"SPANNER 6X6X7,5","CHIAVETTA 6X6X7,5"
ELECTROVALVE CONNECTOR,CONNETTORE RADDRIZZATORE ELETTROVALVOLA 843 X SYNTH GAS
VALVE,VALVOLA
REDUCER 1/15Ø,RIDUTTORE 1/15Ø
SWITCH MEMBRANE-ICB SINGLE,INTERRUTTORE
WATER TAP,RUBINETTO ACQUA
MXD-M7D-P100 MICRO,MICROPROCESSORE
FOOT LM500,PIEDE LM500
FOOT H=50MM,PIEDINO H=50MM
TUBE FOR WASHING,"DERIVAZIONE X LAVAGGIO ASS,TA"
RADIANT PLATE,PIASTRA RADIANTE
OUTLET DRAIN FILTER,FILTRO
THERMOSTAT K22-L1020,TERMOSTATO K22-L1020
"REPL,= 0780026720",UGELLO GAS
FUSE,FUSIBILE
HEAT EXCHANGE BOX,SCATOLA
CUP NUT,DADO A TAZZA
SUPPORT 1700X475MM,PIANTANA 1700X475MM
PHOTOCELL,FOTOCELLULA
MOLLETON PADDING,FODERA MANGANO
FLANGE EQ PSR100,FLANGIA EQ PSR100
GREASE NIPPLE,INGRASSATORE
EVAPORATOR CTE 45L8ED,EVAPORATORE CTE 45L8ED
MULTICONTACT BUSH,BUSSOLA MULTICONTACT
MARBLE TOP,PIANO MARMO
BAR 430F,BARRA 430F
RIBBED BELT,CINGHIA A V
FEG ROLLER,RULLO
"CORD POWER,EURO",CAVO ALIMENTAZIONE EURO
PIN 17.5 K180,"PERNO 17,5 K180"
HARTING 3POLES+STRAIGHT,MORSETTIERA
CONDENSER,CONDENSATORE
SCREW M4X110,VITE M4X110
COLLAR CD4/8,COLLARE
FIXED WHEEL,RUOTA FISSA A PIASTRA SENZA FRENO Ø 125X32 MM
"REPL,= 077490138000",TENDINA
DRUM COMPLETE,CESTO LAVATRICE COMPLETE
"REPL,= 077019011209",DISPOSITIVO CONTROLLO FIAMMA
SPRING EXTENDER BUSHING,BOCCOLA
"HOPPER ASSY,(DOUBLE)W/INSERTS",BACINELLA
"EL,BAINM,1/1GN,TAP(R),1S,BS,500X900X250H","BAGNOMARIA EL,1/1,RUB DX,1LATO,ALZ,H250"
STRAINER WASTE,PILETTA
MAGNET VALVE,ELETTROVALVOLA 2 VIE
HARNESS,IMBRACATURA
CONDENSER COVER,COPERTURA
CONTROLLER BOARD,SCHEDA REGOLATORE
VARIATOR KIT,INVERTER
MOTOR CAP,CALOTTA MOTORE
FRYER BASKET 140X340X150MM,CESTO FRIGGITRICE 140X340X150MM
ANTI-VIBRATION BUFFER,GOMMINO ANTIVIBRANTE
LID WELDED,COPERCHIO SALDATO
"DISPLAY UNIT,REFR,+2+4°C,TABLETOP,1510MM","ESPOSITORE REFR,+2+4°C,DA BANCO,1510 MM"
END LIMIT BAR,BARRA
HOSE HOOPS,FASCETTA
ROUND WASHER,RONDELLA
KIT TEMPERATURE PROBE,KIT SONDA TEMPERATURA
"LABEL,CAUTION,ELECTRICAL",ETICHETTA
"WORK TOP,CLOSED,1-S,BACKSPL,600X800X250H",NEUTRO TOP 600MM 1 LATO C/ALZATINA
"PASSTH,BASE,H2,GN,2DR,2SIDE,500X900X550H","VANO PASSANTE,H2,GN,2PORTE,2L,500XH550"
ELECTRIC PUMP FAULTY,ELETTROPOMPA FAULTY
10-WIRES FLAT CABLE,CAVO FLAT 10 FILI
PLATE WARMER 1-STUD,PIASTRA
"OVERSHELF,UNHEATED,1200 MM","MENSOLA D'APPOGGIO NEUTRA,1200 MM"
"COIL,SOLENOID 220V (DELTROL",ELETTROVALVOLA
"CAPACITOR 6,3UF","CONDENSATORE 6,3UF"
GASKET EXTRAN540,GUARNIZIONE EXTRAN540
ROPE,FUNE
WORKTOP 400 MM,ELEMENTO NEUTRO TOP 400 MM
"REPL,= 0780050933",RESISTENZA
AIR GRID,LUFTGITTER
EINLEGEPLATTE EINSEITIG,INSERIRE LA PIASTRA DA UN LATO
"GAS TOP,2BURN,1S,BS,400X850X250H","CUCINA A GAS 2 FUOCHI 1 LATO+ ALZ,H250"
BLADE KIT SMOOTH,GRUPPO LAME LISCE KIT
HANDLE EHT,MANIGLIA
"D,16 BLACK BUTTON","TASTO D,16 NERO"
FEELER,SONDA
BATTERIE MULTIPOWER,BATTERIA
"STANDOFF,REVERSE EDGEMOUNT",ANELLO PREMISTOPPA
PRESSURE REGULATOR,REGOLATORE PRESSIONE
USE 4100674,USARE 4100674
E-BOX CABLE GROOVE,PASSACAVO
"SIGHT GLASS,REFRIG,3/8",VETRO
WINDING TUBE D14,TUBETTO
GROUND CLAMP,FASCETTA DI MESSA A TERRA
LABEL D=6,ETICHETTA D=6
ARM LH,BRACCIO LH
CAM SHAFT,CAMMA
EVAPORATOR BV-W2L,EVAPORATORE BV-W2L
GEARMOTOR 400V 250W,MOTORIDUTTORE 400V 250W
"EL,MULTIBRAISER,1/1GN,1S,BS,400X850X700H","BRASIERA MULTIFUNZ,EL GN1/1,1L,ALZ,H700"
WATER TANK SEAL,GUARNIZIONE
SP107 PIPE,"TUBO SP107 D,6"
SPACER PSF50,DISTANZIALE PSF50
WING SCREW DTA,VITE ALETTA DTA
ELECTRONIC PRESSURE SWITCH,PRESSOSTATO ELETTRONICO
"FAN MOTOV,A4E450-BG09-51","VENTILATORE MOTOV,A4E450-BG09-51"
GLASS HEATING ELEMENT,VETRO RESISTENZA QSE 60
END CLAMP,FERMA MORSETTO
RAIL 855MM,GUIDA 855MM
LINK WHEEL,INGRANAGGIO DI COLLEGAMENTO
DRYER HEATER HOUSING,CONDUTTURA
"FLOOR DRAIN+GRATE-VERTIC,OUTLET 300X300","PILETTA+GRIGLIATO-SIFONE VERTIC,300X300"
TRIMPIECE_BACK PANEL_G-COOL,BORDINO
SOLENOID VALVE_3-WAY1-FREE FLOW,VALVOLA
"SCREW 4,2X9,5","VITE 4,2X9,5"
HONING ABRASIVE,"MOLA 50X8 FORO 8 ARA 180 C,MOZZO(5012A"
DOOR PN65,PORTA PN65
USE DS18182,UTILIZZARE DS18182
FOOT BLACK,PIEDE BLACK
SALAMANDER PILOT,PILOTA DI SALAMANDRA
PUMP SLEEVE KIT,POMPA MANICA KIT
SCREW (SOLD SINGLY,VITE
INTERMEDIATE WALL,PARETE INTERMEDIA
SHREDDING DISC 3*3,DISCO FIAMMIFERI
MICROSWITCH CPX,MICROINTERRUTTORE CPX
BURRS 890,SBAVI 890
ALLUMINIUM PROFILE,PROFILO ALLUMINIO SUPP GUARN FONDO SI P 7-N 7
FEEDING ARM,BRACCIO
EVAPORATOR VENTILATOR ML135SG,VENTILATORE PER EVAPORATORE ML135SG
DRIVE PULLEY 60HZ,PULEGGIA MOTRICE 60HZ
DRAWHOLE,BOCCHETTA
"SPARK PLUG DIA,9X9,5MM","CANDELA ACCENSIONE ROTONDA DIA,9X9,5MM"
TUBE GRATING,CHIUSURA TUBO CONCENTRATO
"SEAL 78,97X3,53","GUARNIZIONE 78,97X3,53"
AXIS ECRAN PSF50,ASSE ECRAN PSF50
"HARNESS,MOTOR,PCB,J2,1010MM",CABLAGGIO
"INDUCT,GENER,,TIME REPAIR MATERIAL,4X5KW","GENER,DI INDUZ,,TIME REPAIR MATERIAL"
UNDER LAY,SOTTOPIANO
HEATING ELEMENT H-380V-3KW（方,RESISTENZA
BLOWER FAN_24VDC,MOTORE
"THERMOSTAT,HI-LIMIT",TERMOSTATO
"MULTIRT,150R/H,M DRYER,EL,0-LIME,R>L,ESD",CESTO TRAS ACTIVE 150 C/H DECALCIF AUT ELETT ZONA ASCIUG 600MM D>S ESD
JOINT RJ45,GIUNTO RJ45
PLUG ACE2,TAPPO ACE2
LOCKING ASSEMBLY,MECCANISMO CHIUSURA
"EL,FREE COOKING UNIT,1S,BS,800X850X700H","PIASTRA EL,FREE COOKING,1L,AL,800MXH700"
"MEAT MINCER,ST/ST,VENTILATED,400KG/H","TRITACARNE INOX,VENTILATO,400 KG/H"
HEAD DOUBLE,TESTATA DOUBLE
LIMIT SENSOR PLATE,PIASTRA
RIGHT PLATE,PIASTRA
FINGER PROTECTION,PROTEZIONE DITA
INSULATOR PFET08E,ISOLANTE
RUBBER LEG,GAMBA
SLIDING RAIL L&R,GUIDA
SEALING KIT,KIT TENUTA
LOLA ELECTROLUX STICKER,ADESIVO FRONTALE + RETRO LOLA 6 ELECTROLUX
SCREW ELEMENT TER-EL/CM,VITE
COMPLETE CLOTHING,TOTRANSLATE
"PLUG DIA,27,8MM","TAPPO DIA,27,8MM"
FLANGE GREEN,FLANGIA GREEN
WASH PUMP,POMPA LAVAGGIO
STAND,CAVALLETTO
MASKING ANTI-DRIFT XBM10,PROTEZIONE XBM10
SUPPORT HORIZONTAL,SUPPORTO HORIZONTAL
"FULL IND,OPEN,H2,2Z,1S,BS,500X900X800H","INDUZ,AMPIA SUP,2 Z+VANO AP,+ALZ,1L,H800"
BOX FILTER,SCATOLA FILTER
BEARING MARK14 PSX12,CUSCINETTO MARK14 PSX12
TUBE COMPL,TUBO CPL
ELBOW 1/2,GOMITO
"REPL,= 0780056798",UGELLO GAS
REAR PRE-FILTER,PRE-FILTRO POSTERIORE
SLEEVE ASSY,MANICOTTO ASSY
BTA EPIC,DISPLAY
WIRING EXTRACTOR,ESTRATTORE CABLAGGI
HINGE INOX,CERNIERA INOX PER VETRINA
CRADLE ASSEMBLY,SUPPORTO
LID COMPLETE,COPERCHIO
"PASSTH,BASE,H2,GN,4DR,2SIDE,800X900X450H","VANO PASSANTE,H2,GN,4PORTE,2L,800XH450"
